ma,ten,dc,so,phong,loai_hinh,loai_trg
79000901,TT GDTX Chu Văn An,546 Ngô Gia Tự,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDTX
79000902,TT GDTX Lê Quý Đôn,92 Nguyễn Đình Chiểu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDTX
79000903,TT GDTX Tiếng Hoa,66 Hải Thượng Lãn Ông,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79000905,TT GDTX Tôn Đức Thắng,37/3 - 37/5 Ngô Tất Tố,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79000909,Trung tâm Bảo trợ - Dạy nghề và Tạo việc làm Thành phố,215 Võ Thị Sáu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79000911,Trung tâm huấn luyện và thi đấu TDTT,43 Điện Biên Phủ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79000912,Trung tâm Giáo dục phổ thông Đại học Công nghiệp Thực phẩm,12 Nguyễn Văn Bảo,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79000914,TT GDTX Gia Định,Số 29 đường 13,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDTX
79000918,TT GDTX Thanh Niên Xung Phong,189e Đặng Công Bỉnh Ấp 5,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79000920,BTVH Nhạc viện Tp Hồ Chí Minh,112 Nguyễn Du,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79760901,TT GDNN-GTDX Quận 1,16A Nguyễn Thị Minh Khai,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDTX
79761901,TT GDNN-GDTX Quận 12,2 Bis Đường Tô Ký Khu phố 3,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79762901,TT GDNN - GDTX Quận Thủ Đức,153/1 Võ Văn Ngân,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79763901,TT GDNN-GDTX Quận 9,Đường Đình Phong Phú,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79764901,TT GDNN - GDTX Quận Gò Vấp,11/3B Phạm Văn Chiêu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79765901,TT GDNN-GDTX Quận Bình Thạnh,801/19 Tầm Vu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDTX
79766901,TT GDNN-GDTX Quận Tân Bình,95/55 TRƯỜNG CHINH PHƯỜNG 12 QUẬN TÂN BÌNH. TP.HỒ CHI MINH.,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79767901,TT GDNN-GDTX Quận Tân Phú,78/2/45 Phan Đình Phùng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79768901,TT GDNN-GDTX Quận Phú Nhuận,109 Phan Dang Luu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDNN - GDTX (Sát nhập theo TTLT số 39/2015)
79769901,TT GDNN-GDTX Quận 2,45 Phan Bá Vành,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,
79770901,TT GDNN-GDTX Quận 3,204 Lý Chính Thắng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,TT GDTX
