ma,ten,dc,so,phong,loai_hinh,loai_trg
79000701,THPT Bùi Thị Xuân,73 - 75 Bùi Thị Xuân,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000702,THPT Trưng Vương,3 Nguyễn Bỉnh Khiêm,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000703,THPT Giồng Ông Tố,200/10 Nguyễn Thị Định,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000704,THPT Nguyễn Thị Minh Khai,275 Điện Biên Phủ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000705,THPT Lê Quý Đôn,110 Nguyễn Thị Minh Khai Phường 6 Quận 3 TP.Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000706,THPT Nguyễn Trãi,364 Nguyễn Tất Thành,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000707,Phổ thông Năng khiếu thể thao Olympic,"Đại học Thể dục thể thao TP. Hồ Chí Minh
Khu phố 6 - phường Linh Trung - Quận Thủ Đức - TP. Hồ Chí Minh",Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Năng khiếu thể dục thể thao
79000708,THPT Hùng Vương,124 Hùng Vương,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000709,THPT Mạc Đĩnh Chi,04 Tân Hòa Đông,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000710,THPT Bình Phú,102 Đường Trần Văn Kiểu Phường 1  Quận 6 TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000711,THPT Lê Thánh Tôn,124 đường 17,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000712,THPT Lương Văn Can,173 Phạm Hùng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000713,THPT Ngô Gia Tự,360E Bến Bình Đông,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000714,THPT Tạ Quang Bửu,909 Tạ Quang Bửu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000715,THPT Nguyễn Huệ,Đường Nguyễn Văn Tăng Kp Châu Phúc Cẩm P.LTM Q9,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000716,THPT Nguyễn Khuyến,50 Thành Thái,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000717,THPT Nguyễn Du,XX-1 Đồng Nai,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000718,THPT Nguyễn Hiền,3 Dương Đình Nghệ-P8-Q11,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000719,THPT Võ Trường Toản,482 Đường Nguyễn Thị Đặng - Khu Phố 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000720,THPT Thanh Đa,186 Nguyễn Xí phường 26 quận Bình Thạnh TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000721,THPT Võ Thị Sáu,95 Đinh Tiên Hoàng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000722,THPT Gia Định,195/29 Xô Viết Nghệ Tĩnh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000723,THPT Phan Đăng Lưu,27 Nguyễn Văn Đậu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000724,THPT Gò Vấp,90A Nguyễn Thái Sơn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000725,THPT Nguyễn Công Trứ,97 Quang Trung Phường 8 Quận Gò Vấp TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000726,THPT Phú Nhuận,Số 5 Hoàng Minh Giám,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000727,THPT Tân Bình,19 Hoa Bằng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000728,THPT Nguyễn Chí Thanh,1A Nguyễn Hiến Lê,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000729,THPT Trần Phú,18 Lê Thúc Hoạch,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000730,THPT Nguyễn Thượng Hiền,544 Cách Mạng Tháng 8,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000731,THPT Thủ Đức,166/24 Đặng Văn Bi,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000732,THPT Nguyễn Hữu Huân,11 Đoàn Kết,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000733,THPT Tam Phú,31 Phú Châu Kp5,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000734,THPT Củ Chi,Tỉnh lộ 8 Khu phố 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000735,THPT Quang Trung,Ấp Phước An,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000736,THPT An Nhơn Tây,227Đường Tỉnh lộ 7 Ấp Chợ Cũ Xã An Nhơn Tây Huyện Củ Chi TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000737,THPT Trung Phú,1318 tỉnh lộ 8 Ấp 12,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000738,THPT Trung Lập,91/3 Trung Lập Ấp Trung Bình.,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000739,THPT Nguyễn Hữu Cầu,Tô Ký Ấp Mỹ Huề Xã Trung Chánh Huyện Hóc Môn TP. HCM.,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường chuyên
79000740,THPT Lý Thường Kiệt,Đường Nam Thới 2 Ấp Nam Thới Xã Thới Tam Thôn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000741,THPT Bình Chánh,D17/1D Huỳnh Văn Trí,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000742,THPT Ten Lơ Man,8 Trần Hưng Đạo Phường Phạm Ngũ Lão Quận 1 Tp.Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000743,THPT Marie Curie,159 Nam Kỳ Khởi Nghĩa,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000744,THPT Trần Khai Nguyên,225 Nguyễn Tri Phương,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000745,THPT Nguyễn An Ninh,93 Trần Nhân Tôn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000746,THPT Nam Kỳ Khởi Nghĩa,269/8 Nguyễn Thị Nhỏ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000747,THPT Nguyễn Thái Bình,913-915 Lý Thường Kiệt,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000748,THPT Nguyễn Trung Trực,9/168 Lê Đức Thọ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000749,THPT Hàn Thuyên,37 Đặng Văn Ngữ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000750,THPT Hoàng Hoa Thám,6 Hoàng Hoa Thám,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000751,THPT Thăng Long,114-116 Hải Thượng Lãn Ông,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000752,THPT Phước Long,Dương Đình Hội Khu phố 6 - Phường Phước Long B - Q.9,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000753,THPT Bà Điểm,Số7 Nguyễn Thị Sóc Ấp Bắc Lânxã Bà Điểm Huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000754,THPT Tân Phong,19F Nguyễn Văn Linh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000755,THPT Trường Chinh,1 DN11 Khu phố 4,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000756,THPT Phú Hòa,Số 25 đường Huỳnh Thị Bẵng Ấp Phú Lợi,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000757,THPT Tân Thông Hội,Ấp Bàu Sim,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000758,THPT Tây Thạnh,27 Đường C2,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000759,THPT Long Trường,309 Võ Văn Hát Kp Phước Hiệp phường Long Trường Quận 9 Tp. Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000760,THPT Nguyễn Văn Cừ,100A ấp 6 xã Xuân Thới Thương Huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000761,THPT Nguyễn Hữu Tiến,9A Ấp 7,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
