ma,ten,dc,so,phong,loai_hinh,loai_trg
79000767,Tiểu học THCS và THPT Quốc Văn Sài Gòn,300 Hòa Bình,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000774,TH - THCS - THPT Chu Văn An,Số 7 Đường Số 1 Khu Phố 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
790007B9,Tiểu học THCS và THPT Mùa Xuân,92 Nguyễn Hữu Cảnh phường 22 Quận Bình Thạnh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000811,TH THCS THPT Tuệ Đức (2),249/108 Tân Thới Nhất 17,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000813,Tiểu học THCS và THPT Ngô Thời Nhiệm,65D Hồ Bá Phấn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000818,TH - THCS - THPT VẠN HẠNH,781e Lê Hồng Phong P12 Q10,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000828,TH THCS và THPT Quốc Tế,305 Nguyễn Trọng Tuyển Phường 10 Quận Phú Nhuận,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000832,TH-THCS-THPT Thanh Bình,192/12 Nguyễn Thái Bình,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000836,TH THCS và THPT Trương Vĩnh Ký,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000848,Tiểu học THCS và THPT Việt Mỹ,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000852,TH THCS và THPT Nam Mỹ,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000858,Tiểu học THCS và THPT Tân Phú,519 Kênh Tân Hóa,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000874,Tiểu học THCS và THPT Vinschool,Tòa CC3 khu đô thị Vinhomes Central Park 720A Điện Biên Phủ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000888,Tiểu học THCS và THPT Lê Thánh Tông,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C01,PTDL Hermann Gmeiner,697 Quang Trung,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C03,Tiểu học THCS và THPT Việt Úc,594 Ba Tháng Hai - phường 14 - Quận 10 - Tp. HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C04,THCS Song ngữ Quốc tế Horizon,6-6A-8 dường số 44,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C05,Tiểu học THCS và THPT Quốc tế Canada,Số 86 Đường 23,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C06,TiH - THCS - THPT QUỐC TẾ BẮC MỸ,1 Đường 5A Kdc Trung Sơn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C07,Tiểu học THCS và THPT Thái Bình Dương,125 Bạch Đằng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C09,TH THCS VÀ THPT Nguyễn Tri Phương,61a Đường 30,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C10,Tiểu học THCS và THPT Anh Quốc,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C11,Tiểu học THCS và THPT Emasi Nam Long,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C12,Tiểu học THCS và THPT Mỹ Việt,95 Phan Văn Hớn-Phường Tân Thới Nhất-Quận 12 - Thành Phố Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C13,Tiểu học THCS và THPT Emasi Vạn Phúc,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C15,Tiểu học THCS và THPT Hoàng Gia,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C19,Tiểu học THCS và THPT Albert Einstein,Khu Dân Cư 13c đại lộ Nguyễn Văn Linh xã Phong Phú huyện Bình Chánh TP Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
7900QT01,Tiểu học THCS và THPT Quốc tế Khai Sáng,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
7900QT02,Trường Quốc tế Việt Nam - Phần Lan,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
7900QT2,Trường Quốc tế Việt Nam - Phần Lan,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79760419,Tiểu học THCS  và THPT Quốc tế Á Châu,Số 41/3-41/4 Bis Trần Nhật Duật,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79767601,Tiểu học THCS và THPT Hòa Bình,69 Trịnh Đình Thảo,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79770601,TiH - THCS - THPT Tây Úc,157 Lý Chính Thắng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79770702,Tiểu học THCS và THPT Úc Châu,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79777418,Tiểu học THCS và THPT Ngôi Sao Nhỏ,10 Đường số 22 Phường Bình Trị Đông B Quận Bình Tân,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79760401,TH Hòa Bình,Số 01 Công Xã Paris,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760402,TH Kết Đoàn,2B Lương Hữu Khánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760403,TH Đinh Tiên Hoàng,67 Đinh Tiên Hoàng,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760404,TH Lê Ngọc Hân,12 Sương Nguyệt Anh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760406,TH Chương Dương,296 Bis Bến Chương Dương,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760407,TH Trần Hưng Đạo,81 Trần Đình Xu,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760408,TH Khai Minh,44 Phó Đức Chính,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760409,TH Nguyễn Thái Học,71 Trần Hưng Đạo,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760410,TH Nguyễn Thái Bình,105 Nguyễn Thái Bình,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760411,TH Trần Khánh Dư,53/61 Trần Khánh Dư,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760412,TH Trần Quang Khải,68/29B Trần Quang Khải,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760413,TH Phan Văn Trị,43 Phạm Viết Chánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760414,Tiểu học Nguyễn Bỉnh Khiêm,2 Bis Nguyễn Bỉnh Khiêm phường Bến Nghé quận Bình Thạnh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760415,Tiểu học Đuốc Sống,2 Đinh Công Tráng,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760416,TH Nguyễn Huệ,93-95A Lê Thị Riêng,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
79760418,TH Lương Thế Vinh,116 Cô Giang,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 1,Công lập,Trường phổ thông
70123015,Tiểu học Nam Việt,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Tư thục,Trường phổ thông
79761401,TH Phạm Văn Chiêu,2683/1A Kp1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Công lập,Trường phổ thông
79761402,TH Quang Trung,17b Kp4,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Công lập,Trường phổ thông
79761403,TH Hà Huy Giáp,84/1 Khu Phố 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Công lập,Trường phổ thông
79761404,TH Nguyễn Du,A36bis Kp1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Công lập,Trường phổ thông
79761405,TH Nguyễn Khuyến,30/A1 Kp1A,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Công lập,Trường phổ thông
79761406,TH Trần Văn Ơn,78/4a bis-KP7Trường Chinh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 12,Công lập,Trường phổ thông
